"","label.final","cluster.final","label","edgeID","parent","node","branch.length","Order","edgeOrder","node.order","node.bootstrap","TEfamily","species","cluster.color","branch.length.ToKeptNode","is_removed","node.info_1","node.info_2","TEfamily.representative","count","perC","consensus.name","is_consensus"
"47","Node151/97:MER11A(53,1)","Node151/97","T_339","1062 753",1062,753,0.0371530448,753,958,NA,NA,"MER11A","hg19","#DFB28C",0.1895335925,"kept","Node151","97","MER11A","53","53","11A|N151|53","instance"
"48","Node151/97:MER11A(53,1)","Node151/97","T_621","1062 760",1062,760,0.0480278952,760,965,NA,NA,"MER11A","hg19","#DFB28C",0.2004084429,"kept","Node151","97","MER11A","53","53","11A|N151|53","instance"
"49","Node151/97:MER11A(53,1)","Node151/97","T_284","1062 740",1062,740,0.0429380459,740,941,NA,NA,"MER11A","hg19","#DFB28C",0.1953185936,"kept","Node151","97","MER11A","53","53","11A|N151|53","instance"
"50","Node151/97:MER11A(53,1)","Node151/97","T_170","1062 625",1062,625,0.0629656878,625,775,NA,NA,"MER11A","hg19","#DFB28C",0.2153462355,"kept","Node151","97","MER11A","53","53","11A|N151|53","instance"
"51","Node151/97:MER11A(53,1)","Node151/97","T_312","1062 736",1062,736,0.0555213233,736,936,NA,NA,"MER11A","hg19","#DFB28C",0.207901871,"kept","Node151","97","MER11A","53","53","11A|N151|53","instance"
"52","Node151/97:MER11A(53,1)","Node151/97","T_30","1117 749",1117,749,0.0472444683,749,954,NA,NA,"MER11A","hg19","#DFB28C",0.2112716403,"kept","Node151","97","MER11A","53","53","11A|N151|53","instance"
"53","Node151/97:MER11A(53,1)","Node151/97","T_197","1062 757",1062,757,0.0540450521,757,962,NA,NA,"MER11A","hg19","#DFB28C",0.2064255998,"kept","Node151","97","MER11A","53","53","11A|N151|53","instance"
"54","Node151/97:MER11A(53,1)","Node151/97","T_362","1118 768",1118,768,0.000964886,768,974,NA,NA,"MER11A","hg19","#DFB28C",0.2129887183,"kept","Node151","97","MER11A","53","53","11A|N151|53","instance"
"55","Node151/97:MER11A(53,1)","Node151/97","T_428","1114 744",1114,744,0.0354133298,744,946,NA,NA,"MER11A","hg19","#DFB28C",0.1949821831,"kept","Node151","97","MER11A","53","53","11A|N151|53","instance"
"56","Node151/97:MER11A(53,1)","Node151/97","T_274","1115 747",1115,747,0.0018468234,747,950,NA,NA,"MER11A","hg19","#DFB28C",0.214279202,"kept","Node151","97","MER11A","53","53","11A|N151|53","instance"
"57","Node151/97:MER11A(53,1)","Node151/97","T_897","1062 773",1062,773,0.046589673,773,979,NA,NA,"MER11A","hg19","#DFB28C",0.1989702207,"kept","Node151","97","MER11A","53","53","11A|N151|53","instance"
"58","Node151/97:MER11A(53,1)","Node151/97","T_876","1118 769",1118,769,0.0015695265,769,975,NA,NA,"MER11A","hg19","#DFB28C",0.2135933588,"kept","Node151","97","MER11A","53","53","11A|N151|53","instance"
"59","Node151/97:MER11A(53,1)","Node151/97","T_330","1062 761",1062,761,0.0635378085,761,966,NA,NA,"MER11A","hg19","#DFB28C",0.2159183562,"kept","Node151","97","MER11A","53","53","11A|N151|53","instance"
"60","Node151/97:MER11A(53,1)","Node151/97","T_250","1111 725",1111,725,0.026219549,725,924,NA,NA,"MER11A","hg19","#DFB28C",0.2059090224,"kept","Node151","97","MER11A","53","53","11A|N151|53","instance"
"61","Node151/97:MER11A(53,1)","Node151/97","T_773","1116 748",1116,748,0.0317516172,748,952,NA,NA,"MER11A","hg19","#DFB28C",0.1928936197,"kept","Node151","97","MER11A","53","53","11A|N151|53","instance"
"62","Node151/97:MER11A(53,1)","Node151/97","T_173","1062 771",1062,771,0.0623694003,771,977,NA,NA,"MER11A","hg19","#DFB28C",0.214749948,"kept","Node151","97","MER11A","53","53","11A|N151|53","instance"
"63","Node151/97:MER11A(53,1)","Node151/97","T_729","1062 758",1062,758,0.0461281073,758,963,NA,NA,"MER11A","hg19","#DFB28C",0.198508655,"kept","Node151","97","MER11A","53","53","11A|N151|53","instance"
"64","Node151/97:MER11A(53,1)","Node151/97","T_896","1062 767",1062,767,0.049384328,767,972,NA,NA,"MER11A","hg19","#DFB28C",0.2017648757,"kept","Node151","97","MER11A","53","53","11A|N151|53","instance"
"65","Node151/97:MER11A(53,1)","Node151/97","T_370","1116 751",1116,751,0.0516800368,751,956,NA,NA,"MER11A","hg19","#DFB28C",0.2128220393,"kept","Node151","97","MER11A","53","53","11A|N151|53","instance"
"66","Node151/97:MER11A(53,1)","Node151/97","T_436","1114 742",1114,742,0.0423372311,742,944,NA,NA,"MER11A","hg19","#DFB28C",0.2019060844,"kept","Node151","97","MER11A","53","53","11A|N151|53","instance"
"67","Node151/97:MER11A(53,1)","Node151/97","T_685","1114 745",1114,745,0.0445186777,745,947,NA,NA,"MER11A","hg19","#DFB28C",0.204087531,"kept","Node151","97","MER11A","53","53","11A|N151|53","instance"
"68","Node151/97:MER11A(53,1)","Node151/97","T_647","1062 755",1062,755,0.0499064678,755,960,NA,NA,"MER11A","hg19","#DFB28C",0.2022870155,"kept","Node151","97","MER11A","53","53","11A|N151|53","instance"
"69","Node151/97:MER11A(53,1)","Node151/97","T_377","1062 739",1062,739,0.0569573426,739,940,NA,NA,"MER11A","hg19","#DFB28C",0.2093378903,"kept","Node151","97","MER11A","53","53","11A|N151|53","instance"
