"","label.final","cluster.final","label","edgeID","parent","node","branch.length","Order","edgeOrder","node.order","node.bootstrap","TEfamily","species","cluster.color","branch.length.ToKeptNode","is_removed","node.info_1","node.info_2","TEfamily.representative","count","perC","consensus.name","is_consensus"
"105","Node11/99:MER11B(33,1)","Node11/99","T_1238","523 266",523,266,0.0580268845,266,372,NA,NA,"MER11B","hg19","#E56D52",0.2859496485,"kept","Node11","99","MER11B","33","33","11B|N11|33","instance"
"106","Node11/99:MER11B(33,1)","Node11/99","T_1149","523 257",523,257,0.0511655567,257,361,NA,NA,"MER11B","hg19","#E56D52",0.2790883207,"kept","Node11","99","MER11B","33","33","11B|N11|33","instance"
"107","Node11/99:MER11B(33,1)","Node11/99","T_1295","618 263",618,263,0.0407903361,263,369,NA,NA,"MER11B","hg19","#E56D52",0.2783228874,"kept","Node11","99","MER11B","33","33","11B|N11|33","instance"
"108","Node11/99:MER11B(33,1)","Node11/99","T_1152","523 274",523,274,0.0554552928,274,380,NA,NA,"MER11B","hg19","#E56D52",0.2833780568,"kept","Node11","99","MER11B","33","33","11B|N11|33","instance"
"109","Node11/99:MER11B(33,1)","Node11/99","T_1232","523 268",523,268,0.0528466203,268,374,NA,NA,"MER11B","hg19","#E56D52",0.2807693843,"kept","Node11","99","MER11B","33","33","11B|N11|33","instance"
"110","Node11/99:MER11B(33,1)","Node11/99","T_1221","523 256",523,256,0.0626151538,256,360,NA,NA,"MER11B","hg19","#E56D52",0.2905379178,"kept","Node11","99","MER11B","33","33","11B|N11|33","instance"
"111","Node133/100:MER11B(14,1)","Node133/100","T_1131","651 381",651,381,2.6311e-06,381,519,NA,NA,"MER11B","hg19","#DB4D97",0.3429056002,"kept","Node133","100","MER11B","14","14","11B|N133|14","instance"
"112","Node133/100:MER11B(14,1)","Node133/100","T_1316","650 380",650,380,0.00191656,380,517,NA,NA,"MER11B","hg19","#DB4D97",0.3457865361,"kept","Node133","100","MER11B","14","14","11B|N133|14","instance"
"113","Node133/100:MER11B(14,1)","Node133/100","T_1130","650 379",650,379,0.0009590654,379,516,NA,NA,"MER11B","hg19","#DB4D97",0.3448290415,"kept","Node133","100","MER11B","14","14","11B|N133|14","instance"
"114","Node133/100:MER11B(14,1)","Node133/100","T_1050","645 384",645,384,0.0123426723,384,522,NA,NA,"MER11B","hg19","#DB4D97",0.3382318022,"kept","Node133","100","MER11B","14","14","11B|N133|14","instance"
"115","Node133/100:MER11B(14,1)","Node133/100","T_1059","645 387",645,387,0.0120248386,387,526,NA,NA,"MER11B","hg19","#DB4D97",0.3379139685,"kept","Node133","100","MER11B","14","14","11B|N133|14","instance"
"116","Node133/100:MER11B(14,1)","Node133/100","T_1160","651 382",651,382,0.0009572505,382,520,NA,NA,"MER11B","hg19","#DB4D97",0.3438602196,"kept","Node133","100","MER11B","14","14","11B|N133|14","instance"
"117","Node133/100:MER11B(14,1)","Node133/100","T_1257","652 386",652,386,0.0048004219,386,525,NA,NA,"MER11B","hg19","#DB4D97",0.3398259516,"kept","Node133","100","MER11B","14","14","11B|N133|14","instance"
"118","Node133/100:MER11B(14,1)","Node133/100","T_1256","652 385",652,385,0.0048866493,385,524,NA,NA,"MER11B","hg19","#DB4D97",0.339912179,"kept","Node133","100","MER11B","14","14","11B|N133|14","instance"
"119","Node133/100:MER11B(14,1)","Node133/100","T_1006","647 378",647,378,0.0009618696,378,513,NA,NA,"MER11B","hg19","#DB4D97",0.3438594059,"kept","Node133","100","MER11B","14","14","11B|N133|14","instance"
"120","Node133/100:MER11B(14,1)","Node133/100","T_1365","645 388",645,388,0.0194965428,388,527,NA,NA,"MER11B","hg19","#DB4D97",0.3453856727,"kept","Node133","100","MER11B","14","14","11B|N133|14","instance"
"121","Node133/100:MER11B(14,1)","Node133/100","T_1018","648 376",648,376,2.3682e-06,376,511,NA,NA,"MER11B","hg19","#DB4D97",0.343860941,"kept","Node133","100","MER11B","14","14","11B|N133|14","instance"
"122","Node133/100:MER11B(14,1)","Node133/100","T_1383","645 389",645,389,0.0169214695,389,528,NA,NA,"MER11B","hg19","#DB4D97",0.3428105994,"kept","Node133","100","MER11B","14","14","11B|N133|14","instance"
"123","Node133/100:MER11B(14,1)","Node133/100","T_1051","645 383",645,383,0.0123425326,383,521,NA,NA,"MER11B","hg19","#DB4D97",0.3382316625,"kept","Node133","100","MER11B","14","14","11B|N133|14","instance"
