"","TE_family","mean.div","mean.age","mean.Len","count","sd.Len","sum.Len","count.200"
"762","MER91A:hAT-Tip100:DNA",30.0625034387895,136.647742903589,123.770288858322,3635,43.3196042208432,449905,38
"763","MER91B:hAT-Tip100:DNA",25.5614810205352,116.188550093342,102.34660858743,1607,46.0645760591297,164471,28
"764","MER91C:hAT-Tip100:DNA",25.4541769041769,115.700804109895,84.2291154791155,1628,26.7242691983025,137125,NA
"765","MER92A:ERV1:LTR",24.4111842105263,110.959928229665,262.046052631579,152,141.511347394012,39831,97
"766","MER92B:ERV1:LTR",22.3172452407615,101.442023821643,296.300111982083,893,206.579178324021,264596,499
"767","MER92C:ERV1:LTR",21.7132530120482,98.6966046002191,162.927710843374,332,145.89161503853,54092,79
"768","MER94:hAT-Blackjack:DNA",25.0863067944977,114.028667247717,105.789078782826,4798,25.4988280712207,507576,NA
"769","MER94B:hAT-Blackjack:DNA",24.2282958199357,110.128617363344,89.5353697749196,622,28.4793543850901,55691,NA
"770","MER95:ERV:LTR",19.3782051282051,88.0827505827506,264.429487179487,156,135.765410207341,41251,92
"771","MER96:hAT:DNA",22.9958431372549,104.526559714795,112.098823529412,1275,39.7676883053532,142926,NA
"772","MER96B:hAT:DNA",19.48197945845,88.5544520838639,154.191409897292,2142,82.9015767369662,330278,512
"773","MER97a:hAT-Tip100:DNA",22.4191335740072,101.905152609124,372.180505415162,277,267.413083365074,103094,179
"774","MER97b:hAT-Tip100:DNA",22.0730769230769,100.332167832168,339.230769230769,182,277.282494597936,61740,97
"775","MER97c:hAT-Tip100:DNA",23.2571428571429,105.714285714286,339.506912442396,217,217.243849161013,73673,154
"776","MER97d:hAT-Tip100:DNA",23.7627450980392,108.01247771836,455.401960784314,102,360.988117513882,46451,69
"777","MER99:hAT:DNA",21.8263513513514,99.210687960688,328.14527027027,296,258.285971806041,97131,155
"778","MER9a1:ERVK:LTR",5.43819241982507,24.7190564537503,483.36443148688,343,79.9793000643544,165794,331
"779","MER9a2:ERVK:LTR",6.10161812297735,27.7346278317152,466.569579288026,309,120.959553104168,144170,282
"780","MER9a3:ERVK:LTR",7.17293103448276,32.6042319749216,458.046551724138,580,114.376040577604,265667,535
"781","MER9B:ERVK:LTR",7.83589743589744,35.6177156177156,438.948717948718,39,105.955290650039,17119,38
"782","Merlin1_HS:Merlin:DNA",15.3859649122807,69.9362041467305,312.982456140351,57,303.251927989871,17840,30
"783","MERX:TcMar-Tigger:DNA",24.88,113.090909090909,175.648275862069,435,150.228943456611,76407,146
"784","MIR:MIR:SINE",27.4760196120862,124.890998236755,156.774848239808,175606,62.9774391556168,27530604,56082
"785","MIR3:MIR:SINE",29.03691945267,131.985997512137,113.34685879724,90841,42.1399622468456,10296542,1129
"786","MIRb:MIR:SINE",29.3383202682597,133.356001219362,150.429615154006,225155,56.3710066141809,33869980,52763
"787","MIRc:MIR:SINE",28.7342606191783,130.610275541719,128.26721872222,103492,55.3304913043191,13274631,13643
"788","MLT-int:ERVL-MaLR:LTR",22.4609065155807,102.095029616276,350.033994334278,353,350.564842886983,123562,193
"789","MLT1-int:ERVL-MaLR:LTR",23.2096916299559,105.498598317982,277.616740088106,227,244.930039283278,63019,112
"790","MLT1A-int:ERVL-MaLR:LTR",22.9371111111111,104.259595959596,420.042222222222,450,377.021258543486,189019,282
"791","MLT1A:ERVL-MaLR:LTR",21.625611907387,98.2982359426681,273.526460859978,9070,116.335667602177,2480885,6142
"792","MLT1A0-int:ERVL-MaLR:LTR",22.4303455723542,101.956116237974,590.063714902808,926,479.594735720292,546399,696
"793","MLT1A0:ERVL-MaLR:LTR",19.4204572978734,88.2748058994244,278.641476529573,20643,105.665625327835,5751996,15570
"794","MLT1A1-int:ERVL-MaLR:LTR",22.1582417582418,100.719280719281,775.529670329671,455,579.819350093874,352866,373
"795","MLT1A1:ERVL-MaLR:LTR",19.0094295004434,86.4064977292882,292.658587052911,6766,120.119339116868,1980128,5073
"796","MLT1B-int:ERVL-MaLR:LTR",23.5212230215827,106.914650098103,382.674460431655,556,332.118208841148,212767,354
"797","MLT1B:ERVL-MaLR:LTR",18.7238058209287,85.1082082769486,274.787547211731,18004,122.085409954151,4947275,12123
"798","MLT1C-int:ERVL-MaLR:LTR",22.8837310195228,104.016959179649,454.154013015184,461,384.265618236736,209365,311
"799","MLT1C:ERVL-MaLR:LTR",21.5101140032284,97.7732454692201,308.341959241323,19824,142.62743927045,6112571,14038
"800","MLT1D-int:ERVL-MaLR:LTR",25.1137715179969,114.153506899986,468.957746478873,639,390.103490527269,299664,445
"801","MLT1D:ERVL-MaLR:LTR",21.3705607251338,97.1389123869718,320.525095222025,20741,161.623621698775,6648011,14436
"802","MLT1E-int:ERVL-MaLR:LTR",25.2777777777778,114.89898989899,348.611111111111,18,362.676511003934,6275,9
"803","MLT1E:ERVL-MaLR:LTR",22.8161894273128,103.709951942331,297.656387665198,908,179.976743545232,270272,575
"804","MLT1E1-int:ERVL-MaLR:LTR",24.6,111.818181818182,368.355555555556,45,385.318354537432,16576,22
"805","MLT1E1:ERVL-MaLR:LTR",23.0895493767977,104.952497167262,302.77468839885,1043,184.0103061136,315794,638
"806","MLT1E1A-int:ERVL-MaLR:LTR",24.8727272727273,113.057851239669,491.227272727273,88,403.17335272944,43228,62
"807","MLT1E1A:ERVL-MaLR:LTR",23.7814098750744,108.097317613974,330.621058893516,3362,193.321803260515,1111548,2236
"808","MLT1E2-int:ERVL-MaLR:LTR",25.9834586466165,118.106630211893,461.18045112782,133,357.881431071599,61337,97
"809","MLT1E2:ERVL-MaLR:LTR",23.8594594594595,108.452088452088,370.574324324324,3996,197.373075405532,1480815,2879
"810","MLT1E3-int:ERVL-MaLR:LTR",25.8277108433735,117.398685651698,391.78313253012,83,335.387909674635,32518,50
"811","MLT1E3:ERVL-MaLR:LTR",22.9170755642787,104.168525292176,328.214425907753,2038,205.39932884165,668901,1247
"812","MLT1F-int:ERVL-MaLR:LTR",24.579296875,111.724076704545,385.349609375,512,338.521316669095,197299,294
"813","MLT1F:ERVL-MaLR:LTR",23.3520363043984,106.145619565447,324.206190365371,4297,171.97228087682,1393114,2885
"814","MLT1F1-int:ERVL-MaLR:LTR",24.5844720496894,111.747600225861,486.39751552795,161,386.995450223628,78310,118
"815","MLT1F1:ERVL-MaLR:LTR",22.7003049710278,103.183204413763,301.109484598963,3279,178.886781758542,987338,1960
"816","MLT1F2-int:ERVL-MaLR:LTR",23.7593333333333,107.99696969697,447.386666666667,300,361.562482268514,134216,216
"817","MLT1F2:ERVL-MaLR:LTR",24.0159211398277,109.163277908308,346.544234592445,6036,185.998445971435,2091741,4125
"818","MLT1G-int:ERVL-MaLR:LTR",27.5386740331492,125.175791059769,464.690607734807,181,350.583328769774,84109,134
"819","MLT1G:ERVL-MaLR:LTR",25.8765241765943,117.620564439065,311.684302733006,2854,179.487778959797,889547,1837
"820","MLT1G1-int:ERVL-MaLR:LTR",27.214983713355,123.704471424341,469.915309446254,307,396.679221246559,144264,205
"821","MLT1G1:ERVL-MaLR:LTR",26.1489420935412,118.858827697915,324.643652561247,3592,174.394155873112,1166120,2436
"822","MLT1G3-int:ERVL-MaLR:LTR",27.5008333333333,125.003787878788,436.408333333333,240,374.634940765539,104738,155
"823","MLT1G3:ERVL-MaLR:LTR",25.7087486157254,116.857948253297,312.057216685124,2709,176.96826665962,845363,1752
"824","MLT1H-int:ERVL-MaLR:LTR",27.8837064676617,126.744120307553,389.850746268657,804,318.796862771603,313440,521
"825","MLT1H:ERVL-MaLR:LTR",26.1836239350109,119.016472431868,273.069546265108,10094,156.96968224221,2756364,5835
"826","MLT1H1-int:ERVL-MaLR:LTR",28.1279069767442,127.854122621564,408.46511627907,430,330.468745905544,175640,292
"827","MLT1H1:ERVL-MaLR:LTR",26.8929120879121,122.24050949051,310.97967032967,3640,170.351001538267,1131966,2414
"828","MLT1H2-int:ERVL-MaLR:LTR",27.1894285714286,123.588311688312,413.611428571429,350,331.544113217856,144764,236
"829","MLT1H2:ERVL-MaLR:LTR",25.5536487059822,116.152948663555,214.50509121765,4714,141.515757451262,1011177,1894
"830","MLT1I-int:ERVL-MaLR:LTR",30.624125,139.200568181818,373.23,800,292.462814255339,298584,516
"831","MLT1I:ERVL-MaLR:LTR",28.0990801695374,127.723091679715,214.548381278745,11089,114.170401672656,2379127,5480
"832","MLT1J-int:ERVL-MaLR:LTR",29.9677754677755,136.217161217161,302.442827442827,1443,242.952339226055,436425,803
"833","MLT1J:ERVL-MaLR:LTR",27.7838441388343,126.290200631065,243.516240995416,15270,137.576623122634,3718493,8203
"834","MLT1J1-int:ERVL-MaLR:LTR",28.8247983870968,131.02181085044,399.975806451613,496,319.909190744156,198388,317
"835","MLT1J1:ERVL-MaLR:LTR",26.8955126903553,122.252330410706,210.936852791878,4925,118.695922623161,1038864,2188
"836","MLT1J2-int:ERVL-MaLR:LTR",28.9940978077572,131.791353671623,384.160202360877,593,293.922263408177,227807,406
"837","MLT1J2:ERVL-MaLR:LTR",27.6235812274368,125.561732851986,222.575451263538,6925,119.448606713029,1541335,3298
"838","MLT1K-int:ERVL-MaLR:LTR",31.2713567839196,142.142530835998,226.427135678392,199,152.975153020856,45059,86
"839","MLT1K:ERVL-MaLR:LTR",28.1401144555109,127.909611161413,227.114950751114,18173,145.015660017201,4127360,8549
"840","MLT1L-int:ERVL-MaLR:LTR",30.8157407407407,140.071548821549,255.083333333333,108,189.824470074994,27549,61
"841","MLT1L:ERVL-MaLR:LTR",27.7096488322014,125.952949237279,213.89655458009,12074,134.704705647467,2582587,5426
"842","MLT1M-int:ERVL-MaLR:LTR",22.7,103.181818181818,878,1,NA,878,1
"843","MLT1M:ERVL-MaLR:LTR",27.1365696887686,123.348044039857,154.481055480379,2956,107.490078933229,456646,763
"844","MLT1N2-int:ERVL-MaLR:LTR",28.8434210526316,131.106459330144,262.434210526316,76,283.59207020067,19945,28
"845","MLT1N2:ERVL-MaLR:LTR",27.8785520054385,126.720690933811,184.306594153637,5884,137.411961155234,1084460,1686
"846","MLT2A1:ERVL:LTR",9.16261904761905,41.6482683982684,279.360846560846,3780,171.640756524074,1055984,2406
"847","MLT2A2:ERVL:LTR",13.3305541303232,60.5934278651057,400.545151359672,3898,179.338389019401,1561325,3090
"848","MLT2B1:ERVL:LTR",19.4032589285714,88.1966314935065,304.126339285714,4480,182.639375371323,1362486,2937
"849","MLT2B2:ERVL:LTR",18.4233589859665,83.7425408453023,312.630149388864,2209,190.620695285264,690600,1419
