"","mark","family.group","functional.group","family.cluster","no.subfamilies.FG","subfamily.count_200bp.FG","intersect.count_200bp.FG","uniqueID.FG","pvalue","mean.value","sd.value","log2FC","perC"
"25742","ZNF433","G5","PG4","MER11A",32,986,0,"ZNF433 G5 PG4 MER11A",2,0.35,0.575159178669767,-0.432959407276106,0
"25743","ZNF433","G6","PG1","LTR7",2,60,0,"ZNF433 G6 PG1 LTR7",2,0,0,0,0
"25744","ZNF433","G6","PG10","LTR7",2,143,0,"ZNF433 G6 PG10 LTR7",2,0.01,0.1,-0.0143552929770701,0
"25745","ZNF433","G6","PG11","LTR7",1,84,0,"ZNF433 G6 PG11 LTR7",2,0.01,0.0999999999999999,-0.0143552929770701,0
"25746","ZNF433","G6","PG12","LTR7",4,620,0,"ZNF433 G6 PG12 LTR7",2,0.09,0.287623491264661,-0.124328135002202,0
"25747","ZNF433","G6","PG2","LTR7",3,501,0,"ZNF433 G6 PG2 LTR7",2,0.07,0.293188669562103,-0.0976107966264223,0
"25748","ZNF433","G6","PG3","LTR7",3,133,0,"ZNF433 G6 PG3 LTR7",2,0.01,0.1,-0.0143552929770701,0
"25749","ZNF433","G6","PG4","LTR7",1,28,0,"ZNF433 G6 PG4 LTR7",2,0,0,0,0
"25750","ZNF433","G6","PG5","LTR7",2,24,0,"ZNF433 G6 PG5 LTR7",2,0,0,0,0
"25751","ZNF433","G6","PG6","LTR7",2,35,0,"ZNF433 G6 PG6 LTR7",2,0,0,0,0
"25752","ZNF433","G6","PG7","LTR7",1,47,0,"ZNF433 G6 PG7 LTR7",2,0.01,0.1,-0.0143552929770701,0
"25753","ZNF433","G6","PG8","LTR7",5,134,0,"ZNF433 G6 PG8 LTR7",2,0.02,0.14070529413629,-0.028569152196771,0
"25754","ZNF433","G6","PG9","LTR7",10,1565,0,"ZNF433 G6 PG9 LTR7",2,0.2,0.449466574975494,-0.263034405833794,0
"25755","ZNF433","G8","PG1","LTR13",3,152,0,"ZNF433 G8 PG1 LTR13",2,0.09,0.287623491264661,-0.124328135002202,0
"25756","ZNF433","G8","PG2","LTR13",5,106,0,"ZNF433 G8 PG2 LTR13",2,0.06,0.238683256575942,-0.0840642647884746,0
"25757","ZNF433","G8","PG3","LTR13",9,360,0,"ZNF433 G8 PG3 LTR13",2,0.17,0.403394686042433,-0.22650852980868,0
"25758","ZNF433","G9","PG1","LTR23",2,332,0,"ZNF433 G9 PG1 LTR23",2,0.02,0.14070529413629,-0.028569152196771,0
"25759","ZNF433","G9","PG2","LTR23",1,353,0,"ZNF433 G9 PG2 LTR23",2,0.07,0.256432399976243,-0.0976107966264223,0
"25760","ZNF433","G9","PG3","LTR23",3,80,0,"ZNF433 G9 PG3 LTR23",2,0.01,0.1,-0.0143552929770701,0
"25761","ZNF433","G9","PG4","LTR23",1,31,0,"ZNF433 G9 PG4 LTR23",2,0,0,0,0
"25762","ZNF433","G9","PG5","LTR23",1,58,0,"ZNF433 G9 PG5 LTR23",2,0,0,0,0
"25763","ZNF433","G9","PG6","LTR23",2,199,0,"ZNF433 G9 PG6 LTR23",2,0.06,0.277797979063414,-0.0840642647884746,0
"25764","ZNF433",NA,NA,NA,72,1848,4,"ZNF433 NA NA NA",0,0.19,0.419114024647906,2.07096652135414,0.00216450216450216
"25765","ZNF439","G1","PG1","MER9a",1,28,0,"ZNF439 G1 PG1 MER9a",2,0,0,0,0
"25766","ZNF439","G1","PG2","MER9a",7,516,0,"ZNF439 G1 PG2 MER9a",2,0,0,0,0
"25767","ZNF439","G1","PG3","MER9a",6,601,0,"ZNF439 G1 PG3 MER9a",2,0.01,0.1,-0.0143552929770701,0
"25768","ZNF439","G10","PG1","LTR14",2,85,0,"ZNF439 G10 PG1 LTR14",2,0,0,0,0
"25769","ZNF439","G10","PG2","LTR14",2,120,0,"ZNF439 G10 PG2 LTR14",2,0,0,0,0
"25770","ZNF439","G11","PG1","LTR14A",3,34,0,"ZNF439 G11 PG1 LTR14A",2,0,0,0,0
"25771","ZNF439","G11","PG2","LTR14A",6,258,0,"ZNF439 G11 PG2 LTR14A",2,0.01,0.1,-0.0143552929770701,0
"25772","ZNF439","G11","PG3","LTR14A",2,89,0,"ZNF439 G11 PG3 LTR14A",2,0,0,0,0
"25773","ZNF439","G12","PG1","LTR17",4,237,0,"ZNF439 G12 PG1 LTR17",2,0,0,0,0
"25774","ZNF439","G12","PG2","LTR17",2,76,0,"ZNF439 G12 PG2 LTR17",2,0,0,0,0
"25775","ZNF439","G12","PG3","LTR17",7,448,0,"ZNF439 G12 PG3 LTR17",2,0,0,0,0
"25776","ZNF439","G13","PG1","LTR22",3,137,0,"ZNF439 G13 PG1 LTR22",2,0,0,0,0
"25777","ZNF439","G13","PG2","LTR22",2,25,0,"ZNF439 G13 PG2 LTR22",2,0,0,0,0
"25778","ZNF439","G13","PG3","LTR22",7,182,0,"ZNF439 G13 PG3 LTR22",2,0,0,0,0
"25779","ZNF439","G13","PG4","LTR22",12,170,0,"ZNF439 G13 PG4 LTR22",2,0,0,0,0
"25780","ZNF439","G13","PG5","LTR22",1,88,0,"ZNF439 G13 PG5 LTR22",2,0,0,0,0
"25781","ZNF439","G13","PG6","LTR22",7,142,0,"ZNF439 G13 PG6 LTR22",2,0,0,0,0
"25782","ZNF439","G14","PG1","LTR15",1,30,0,"ZNF439 G14 PG1 LTR15",2,0,0,0,0
"25783","ZNF439","G14","PG2","LTR15",2,31,0,"ZNF439 G14 PG2 LTR15",2,0,0,0,0
"25784","ZNF439","G14","PG3","LTR15",2,31,0,"ZNF439 G14 PG3 LTR15",2,0.01,0.1,-0.0143552929770701,0
"25785","ZNF439","G14","PG4","LTR15",4,206,0,"ZNF439 G14 PG4 LTR15",2,0,0,0,0
"25786","ZNF439","G15","PG1","LTR61",3,72,0,"ZNF439 G15 PG1 LTR61",2,0,0,0,0
"25787","ZNF439","G15","PG2","LTR61",2,49,0,"ZNF439 G15 PG2 LTR61",2,0,0,0,0
"25788","ZNF439","G16","PG1","LTR66",3,178,0,"ZNF439 G16 PG1 LTR66",2,0,0,0,0
"25789","ZNF439","G17","PG1","LTR4",3,40,0,"ZNF439 G17 PG1 LTR4",2,0,0,0,0
"25790","ZNF439","G17","PG2","LTR4",1,108,0,"ZNF439 G17 PG2 LTR4",2,0.01,0.1,-0.0143552929770701,0
"25791","ZNF439","G17","PG3","LTR4",4,77,0,"ZNF439 G17 PG3 LTR4",2,0,0,0,0
