Order,Combination,ID,logL,deltaL,bp-RELL,p-KH,p-SH,c-ELW,p-AU,rank,rooted_incstance_cluster,is_kept,Combination,final_tree
361,hg19_G4_v1,32,-3464.361267,4.178893184,0.033,0.083,0.441,0.038705152,0.191079211,2,-,0,LTR2s,
362,hg19_G4_v1,31,-3464.627904,4.445530791,0.001,0.039,0.366,0.01349091,0.177419149,3,-,0,LTR2s,
363,hg19_G4_v1,33,-3464.807824,4.625450063,0.004,0.053,0.349,0.015425102,0.087105121,4,-,0,LTR2s,
364,hg19_G4_v1,2,-3464.882631,4.700257769,0.003,0.021,0.334,0.01159072,0.017962025,5,-,0,LTR2s,
365,hg19_G4_v1,28,-3465.313183,5.130809998,0.005,0.034,0.297,0.013178243,0.104601613,6,-,0,LTR2s,
366,hg19_G4_v1,25,-3465.335926,5.153552196,0.002,0.029,0.286,0.011465069,0.133159573,7,-,0,LTR2s,
367,hg19_G4_v1,26,-3465.335935,5.15356192,0.003,0.029,0.286,0.011465353,0.133222238,8,-,0,LTR2s,
368,hg19_G4_v1,29,-3465.336055,5.153681099,0.002,0.029,0.286,0.011463702,0.133244558,9,-,0,LTR2s,
369,hg19_G4_v1,4,-3465.38055,5.198176267,0.001,0.029,0.282,0.010955892,0.150370276,10,-,0,LTR2s,
370,hg19_G4_v1,3,-3465.381316,5.198942683,0,0.028,0.28,0.010805833,0.141410351,11,-,0,LTR2s,
371,hg19_G4_v1,23,-3465.398022,5.215648221,0.016,0.034,0.272,0.019688033,0.07029799,12,-,0,LTR2s,
372,hg19_G4_v1,24,-3465.510027,5.327653592,0.001,0.022,0.273,0.010213366,0.109332549,13,-,0,LTR2s,
373,hg19_G4_v1,5,-3465.510123,5.327749194,0.002,0.022,0.273,0.010211763,0.114648222,14,-,0,LTR2s,
374,hg19_G4_v1,27,-3465.705081,5.522707192,0.007,0.022,0.248,0.008991609,0.021659196,15,-,0,LTR2s,
375,hg19_G4_v1,36,-3465.880172,5.697798853,0.008,0.08,0.267,0.021816758,0.271889919,16,-,0,LTR2s,
376,hg19_G4_v1,37,-3465.941502,5.759128182,0.032,0.09,0.283,0.032044485,0.142218169,17,-,0,LTR2s,
377,hg19_G4_v1,38,-3465.94156,5.759186413,0.034,0.09,0.283,0.032043146,0.142148521,18,-,0,LTR2s,
378,hg19_G4_v1,30,-3465.98228,5.799906019,0,0.009,0.215,0.004831855,0.028411687,19,-,0,LTR2s,
379,hg19_G4_v1,6,-3466.413458,6.231084915,0,0.012,0.155,0.00515424,0.014059211,20,-,0,LTR2s,
380,hg19_G4_v1,42,-3467.00902,6.826646436,0.024,0.07,0.191,0.019369498,0.110310937,21,-,0,LTR2s,
381,hg19_G4_v1,40,-3467.14868,6.966306417,0.008,0.062,0.179,0.013259978,0.047694547,22,-,0,LTR2s,
382,hg19_G4_v1,41,-3467.148723,6.966349881,0.006,0.062,0.179,0.01325942,0.091411182,23,-,0,LTR2s,
383,hg19_G4_v1,17,-3467.442353,7.259979184,0,0.007,0.09,0.002181263,5.26E-06,24,-,0,LTR2s,
384,hg19_G4_v1,7,-3467.442377,7.26000356,0,0.007,0.09,0.002181112,5.33E-06,25,-,0,LTR2s,
385,hg19_G4_v1,8,-3467.442415,7.260041925,0,0.007,0.09,0.002181144,5.30E-06,26,-,0,LTR2s,
386,hg19_G4_v1,39,-3467.46625,7.283876289,0,0.028,0.098,0.002761687,0.030461499,27,-,0,LTR2s,
387,hg19_G4_v1,18,-3467.600261,7.41788752,0,0.005,0.086,0.001988753,4.98E-40,28,-,0,LTR2s,
388,hg19_G4_v1,22,-3467.674927,7.492553965,0.002,0.008,0.095,0.003487864,0.005579103,29,-,0,LTR2s,
